Species,Name,Family,Habitat,Length (cm),Trophic Level,Status
ablennes hians,flat needlefish,belonidae,reef-associated,140.0 tl,4.2,introduced
abudefduf saxatilis,sergeant-major,pomacentridae,reef-associated,22.9 tl,3.8,introduced
abudefduf vaigiensis,indo-pacific sergeant,pomacentridae,reef-associated,20.0 tl,2.6,introduced
acanthocybium solandri,wahoo,scombridae,pelagic-oceanic,250.0 tl,4.3,native
acantholabrus palloni,scale-rayed wrasse,labridae,reef-associated,25.0 tl,3.5,native
acanthopagrus bifasciatus,twobar seabream,sparidae,reef-associated,36.2 sl,3.4,introduced
acanthostracion notacanthus,island cowfish,ostraciidae,demersal,50.0 tl,2.4,questionable
acanthostracion quadricornis,scrawled cowfish,ostraciidae,reef-associated,55.0 tl,2.7,questionable
acanthurus coeruleus,blue tang surgeonfish,acanthuridae,reef-associated,39.0 tl,2.2,introduced
acanthurus monroviae,monrovia doctorfish,acanthuridae,demersal,45.0 sl,2.5,native
acipenser naccarii,adriatic sturgeon,acipenseridae,demersal,200.0 tl,3.3,endemic
acipenser stellatus,starry sturgeon,acipenseridae,demersal,250.0 tl,3.5,native
acipenser sturio,sturgeon,acipenseridae,demersal,600.0 tl,3.5,native
aetomylaeus bovinus,bull ray,myliobatidae,benthopelagic,222.0 wd,3.8,native
aidablennius sphynx,,blenniidae,demersal,8.0 tl,2.1,native
alepes djedaba,shrimp scad,carangidae,reef-associated,40.0 tl,3.6,introduced
alepisaurus ferox,long snouted lancetfish,alepisauridae,bathypelagic,215.0 tl,4.0,error
alepocephalus rostratus,risso's smooth-head,alepocephalidae,bathydemersal,50.0 sl,3.7,native
alopias superciliosus,bigeye thresher,alopiidae,pelagic-oceanic,488.0 tl,4.5,native
alopias vulpinus,thresher,alopiidae,pelagic-oceanic,573.3 tl,4.5,native
alosa algeriensis,north african shad,alosidae,pelagic-neritic,50.0 sl,3.9,native
alosa alosa,allis shad,alosidae,pelagic-neritic,83.0 tl,3.0,native
alosa fallax,twaite shad,alosidae,pelagic-neritic,60.0 sl,4.0,native
aluterus monoceros,unicorn leatherjacket filefish,monacanthidae,reef-associated,76.2 tl,2.0,introduced
ammodytes tobianus,small sandeel,ammodytidae,demersal,20.0 sl,3.1,native
anarchias euryurus,,muraenidae,demersal,25.0 tl,3.4,native
anarhichas lupus,atlantic wolffish,anarhichadidae,demersal,150.0 tl,3.9,questionable
anguilla anguilla,european eel,anguillidae,demersal,133.0 tl,3.5,native
anguilla japonica,japanese eel,anguillidae,demersal,150.0 tl,3.5,questionable
anthias anthias,swallowtail seaperch,anthiadidae,reef-associated,27.0 sl,3.8,native
aphaniops dispar,arabian pupfish,aphaniidae,benthopelagic,7.0 tl,2.9,introduced
aphanius fasciatus,mediterranean banded killifish,aphaniidae,benthopelagic,6.8 tl,2.7,native
aphia minuta,transparent goby,gobiidae,pelagic-neritic,7.9 tl,3.2,native
apletodon dentatus,small-headed clingfish,gobiesocidae,demersal,4.0 sl,3.1,native
apletodon incognitus,,gobiesocidae,demersal,2.7 sl,3.0,native
apogon imberbis,cardinal fish,apogonidae,reef-associated,15.0 sl,3.3,native
apogonichthyoides nigripinnis,bullseye,apogonidae,reef-associated,10.0 tl,3.4,misidentification
apogonichthyoides pharaonis,pharaoh cardinalfish,apogonidae,demersal,9.5 tl,3.4,introduced
apogonichthyoides taeniatus,twobelt cardinal,apogonidae,reef-associated,17.0 tl,3.7,misidentification
apterichtus anguiformis,slender finless eel,ophichthidae,demersal,49.3 tl,4.0,native
apterichtus caecus,european finless eel,ophichthidae,demersal,60.0 tl,4.1,native
arctozenus risso,spotted barracudina,paralepididae,bathypelagic,30.0 sl,3.9,native
argentina sphyraena,argentine,argentinidae,bathydemersal,35.0 sl,3.5,native
argyropelecus hemigymnus,half-naked hatchetfish,sternoptychidae,bathypelagic,5.1 tl,3.1,native
argyropelecus olfersii,,sternoptychidae,bathypelagic,9.0 tl,3.4,native
argyrosomus regius,meagre,sciaenidae,benthopelagic,230.0 tl,4.3,native
ariosoma balearicum,bandtooth conger,congridae,reef-associated,35.0 tl,3.9,native
arnoglossus grohmanni,,bothidae,demersal,,3.6,native
arnoglossus imperialis,imperial scaldfish,bothidae,demersal,25.0 tl,3.8,native
arnoglossus kessleri,scaldback,bothidae,demersal,13.0 tl,4.1,native
arnoglossus laterna,mediterranean scaldfish,bothidae,demersal,25.0 sl,3.6,native
arnoglossus nigrofilamentosus,filamentous flounder,bothidae,pelagic-neritic,9.7 sl,3.4,native
arnoglossus rueppelii,rüppell's scaldback,bothidae,demersal,15.0 sl,4.0,native
arnoglossus thori,thor's scaldfish,bothidae,demersal,18.0 sl,3.3,native
arothron hispidus,white-spotted puffer,tetraodontidae,reef-associated,50.0 tl,3.4,questionable
atherina boyeri,big-scale sand smelt,atherinidae,demersal,20.0 tl,3.2,native
atherina hepsetus,mediterranean sand smelt,atherinidae,pelagic-neritic,20.0 tl,3.2,native
atherina presbyter,sand smelt,atherinidae,pelagic-neritic,20.0 tl,3.7,native
atherinomorus forskalii,red sea hardyhead silverside,atherinidae,reef-associated,13.3 sl,3.3,introduced
atherinomorus lacunosus,hardyhead silverside,atherinidae,reef-associated,25.0 tl,3.3,introduced
aulopus filamentosus,royal flagfin,aulopidae,demersal,44.0 sl,4.2,native
aulotrachichthys sajademalensis,saya de malha luminous roughy,trachichthyidae,bathypelagic,9.6 sl,4.2,native
auxis rochei,bullet tuna,scombridae,pelagic-neritic,50.0 fl,4.4,native
balistes capriscus,grey triggerfish,balistidae,reef-associated,66.0 tl,4.1,native
bathophilus nigerrimus,scaleless dragonfish,stomiidae,bathypelagic,12.2 sl,4.2,native
bathophilus vaillanti,,stomiidae,bathypelagic,18.0 sl,4.4,native
bathygobius soporator,frillfin goby,gobiidae,demersal,15.0 tl,3.7,native
bathypterois dubius,spiderfish,ipnopidae,bathydemersal,20.5 sl,3.4,native
bathypterois grallator,tripodfish,ipnopidae,bathydemersal,43.4 tl,3.1,native
bathypterois mediterraneus,mediterranean spiderfish,ipnopidae,bathydemersal,20.0 sl,3.4,native
bathysaurus mollis,highfin lizardfish,bathysauridae,bathydemersal,78.0 sl,4.5,native
bathysolea profundicola,deepwater sole,soleidae,bathypelagic,21.0 sl,3.2,native
bathytoshia centroura,roughtail stingray,dasyatidae,demersal,300.0 tl,3.8,misidentification
bellottia apoda,,bythitidae,bathydemersal,6.5 sl,3.4,native
belone belone,garfish,belonidae,pelagic-oceanic,104.0 tl,4.2,native
belone svetovidovi,,belonidae,pelagic-oceanic,41.8 tl,4.0,native
benthocometes robustus,,ophidiidae,bathydemersal,15.0 tl,3.1,native
benthophilus stellatus,stellate tadpole-goby,gobiidae,demersal,13.5 tl,3.7,native
benthosema glaciale,glacier lantern fish,myctophidae,pelagic-oceanic,10.3 sl,3.1,native
beryx decadactylus,alfonsino,berycidae,bathydemersal,100.0 tl,4.1,native
beryx splendens,splendid alfonsino,berycidae,benthopelagic,70.0 tl,4.3,introduced
blennius ocellaris,butterfly blenny,blenniidae,demersal,20.0 tl,3.5,native
boops boops,bogue,sparidae,demersal,40.0 tl,2.8,native
borostomias antarcticus,snaggletooth,stomiidae,bathydemersal,30.0 sl,3.6,native
bothus podas,wide-eyed flounder,bothidae,demersal,45.0 tl,3.4,native
brama brama,atlantic pomfret,bramidae,pelagic-neritic,100.0 tl,4.1,native
bregmaceros atlanticus,antenna codlet,bregmacerotidae,pelagic-oceanic,7.8 tl,2.8,misidentification
bregmaceros nectabanus,smallscale codlet,bregmacerotidae,pelagic-neritic,7.6 sl,3.2,introduced
buenia affinis,de buen's goby,gobiidae,demersal,3.3 sl,3.2,endemic
buenia jeffreysii,jeffrey's goby,gobiidae,demersal,6.0 tl,3.6,questionable
buenia lombartei,lombarte's goby,gobiidae,demersal,2.8 sl,3.1,native
buenia massutii,massuti's goby,gobiidae,pelagic-neritic,2.2 sl,3.1,native
buglossidium luteum,solenette,soleidae,demersal,20.0 tl,3.3,native
callanthias ruber,parrot seaperch,callanthiidae,demersal,60.0 tl,3.8,native
callionymus fasciatus,banded dragonet,callionymidae,demersal,16.5 tl,3.3,native
callionymus filamentosus,blotchfin dragonet,callionymidae,demersal,20.0 tl,3.3,introduced
callionymus lyra,dragonet,callionymidae,demersal,30.5 tl,3.4,native
callionymus maculatus,,callionymidae,demersal,17.0 tl,3.3,native
callionymus pusillus,sailfin dragonet,callionymidae,demersal,14.0 tl,3.3,native
callionymus reticulatus,reticulated dragonet,callionymidae,demersal,18.5 tl,3.3,native
callionymus risso,risso's dragonet,callionymidae,demersal,18.2 tl,3.0,native
campogramma glaycos,vadigo,carangidae,benthopelagic,60.0 fl,4.5,native
capros aper,boarfish,caproidae,demersal,30.0 tl,3.1,native
caranx crysos,blue runner,carangidae,reef-associated,70.0 tl,4.1,native
caranx fischeri,longfin crevalle jack,carangidae,pelagic-neritic,100.0 fl,4.2,native
caranx rhonchus,false scad,carangidae,benthopelagic,60.0 tl,3.6,native
carapus acus,pearl fish,carapidae,demersal,20.8 tl,4.0,native
carcharhinus altimus,bignose shark,carcharhinidae,reef-associated,300.0 tl,4.5,introduced
carcharhinus amboinensis,pigeye shark,carcharhinidae,reef-associated,280.0 tl,4.3,native
carcharhinus brachyurus,copper shark,carcharhinidae,reef-associated,325.0 tl,4.3,native
carcharhinus brevipinna,spinner shark,carcharhinidae,reef-associated,309.0 tl,4.2,native
carcharhinus falciformis,silky shark,carcharhinidae,reef-associated,350.0 tl,4.3,introduced
carcharhinus limbatus,blacktip shark,carcharhinidae,reef-associated,286.0 tl,4.4,native
carcharhinus longimanus,oceanic whitetip shark,carcharhinidae,pelagic-oceanic,400.0 tl,4.2,native
carcharhinus melanopterus,blacktip reef shark,carcharhinidae,reef-associated,200.0 tl,3.9,questionable
carcharhinus obscurus,dusky shark,carcharhinidae,reef-associated,420.0 tl,4.3,native
carcharhinus plumbeus,sandbar shark,carcharhinidae,benthopelagic,300.0 tl,4.3,native
carcharias taurus,sand tiger shark,carchariidae,reef-associated,330.0 tl,4.5,native
carcharodon carcharias,great white shark,lamnidae,pelagic-oceanic,640.0 tl,4.5,native
carlarius parkii,guinean sea catfish,ariidae,demersal,75.0 tl,4.1,introduced
cataetyx alleni,,bythitidae,bathydemersal,12.0 tl,3.4,native
cataetyx laticeps,,bythitidae,bathydemersal,65.0 tl,3.7,native
centracanthus cirrus,curled picarel,sparidae,benthopelagic,34.0 tl,3.4,native
centrolabrus exoletus,rock cook,labridae,reef-associated,18.0 tl,3.5,introduced
centrolabrus melanocercus,,labridae,reef-associated,14.0 tl,3.2,endemic
centrolophus niger,rudderfish,centrolophidae,bathypelagic,150.0 sl,3.9,native
centrophorus granulosus,gulper shark,centrophoridae,bathydemersal,165.0 tl,4.1,misidentification
centrophorus uyato,little gulper shark,centrophoridae,bathydemersal,110.0 tl,4.5,native
centroscymnus coelolepis,portuguese dogfish,somniosidae,bathydemersal,121.0 tl,4.5,native
cephalopholis taeniops,bluespotted seabass,epinephelidae,demersal,70.0 tl,4.5,introduced
cepola macrophthalma,red bandfish,cepolidae,demersal,80.0 tl,3.1,native
ceratoscopelus maderensis,madeira lantern fish,myctophidae,bathypelagic,8.9 tl,3.3,native
cetorhinus maximus,basking shark,cetorhinidae,pelagic-oceanic,"1,520.0 tl",3.2,native
chaetodon hoefleri,four-banded butterflyfish,chaetodontidae,reef-associated,27.0 tl,3.5,questionable
chaetodon larvatus,hooded butterflyfish,chaetodontidae,reef-associated,12.0 tl,3.4,introduced
champsodon nudivittis,,champsodontidae,pelagic-oceanic,12.7 tl,4.1,introduced
champsodon vorax,,champsodontidae,demersal,8.2 sl,4.0,introduced
chanos chanos,milkfish,chanidae,benthopelagic,180.0 sl,2.6,introduced
chauliodus sloani,sloane's viperfish,stomiidae,bathypelagic,35.0 sl,4.2,native
chaunax suttkusi,,chaunacidae,bathydemersal,26.7 tl,4.1,introduced
cheilopogon exsiliens,bandwing flyingfish,exocoetidae,pelagic-oceanic,30.0 tl,3.0,native
cheilopogon furcatus,spotfin flyingfish,exocoetidae,pelagic-oceanic,35.0 tl,4.0,introduced
cheilopogon heterurus,mediterranean flyingfish,exocoetidae,pelagic-neritic,40.0 tl,3.4,native
chelidonichthys cuculus,red gurnard,triglidae,demersal,70.0 tl,3.8,native
chelidonichthys lastoviza,streaked gurnard,triglidae,demersal,40.0 tl,3.5,native
chelidonichthys lucerna,tub gurnard,triglidae,demersal,82.8 tl,4.0,native
chelidonichthys obscurus,longfin gurnard,triglidae,demersal,50.5 tl,3.7,native
chelon auratus,golden grey mullet,mugilidae,pelagic-neritic,61.0 fl,2.8,native
chelon caeruleus,,mugilidae,demersal,68.2 sl,2.6,native
chelon labrosus,thicklip grey mullet,mugilidae,demersal,75.0 sl,2.6,native
chelon ramada,thinlip grey mullet,mugilidae,pelagic-neritic,70.0 tl,2.3,native
chelon saliens,leaping mullet,mugilidae,demersal,40.0 sl,2.9,native
chimaera monstrosa,rabbit fish,chimaeridae,bathydemersal,150.0 tl,3.8,native
chlopsis bicolor,bicolor eel,chlopsidae,demersal,42.0 tl,3.7,native
chlorophthalmus agassizi,shortnose greeneye,chlorophthalmidae,bathydemersal,40.0 tl,3.7,native
chloroscombrus chrysurus,atlantic bumper,carangidae,pelagic-neritic,65.0 tl,3.5,native
chromis chromis,damselfish,pomacentridae,reef-associated,25.0 tl,3.8,native
chromis viridis,blue green damselfish,pomacentridae,reef-associated,10.0 tl,2.9,native
chromogobius quadrivittatus,chestnut goby,gobiidae,demersal,6.6 sl,3.4,native
chromogobius zebratus,kolombatovic's goby,gobiidae,demersal,5.3 sl,3.2,native
citharus linguatula,spotted flounder,citharidae,demersal,39.7 tl,4.0,native
clinitrachus argentatus,cline,clinidae,demersal,10.0 tl,3.5,native
coelorinchus caelorhincus,hollowsnout grenadier,macrouridae,benthopelagic,48.0 tl,3.5,native
coelorinchus mediterraneus,,macrouridae,bathydemersal,24.5 tl,3.5,native
coelorinchus occa,swordsnout grenadier,macrouridae,bathydemersal,50.0 tl,3.6,native
conger conger,european conger,congridae,demersal,300.0 tl,4.3,native
corcyrogobius liechtensteini,liechtenstein's goby,gobiidae,demersal,2.5 tl,3.0,endemic
coregonus lavaretus,european whitefish,salmonidae,demersal,73.0 tl,3.1,introduced
coris julis,mediterranean rainbow wrasse,labridae,reef-associated,30.0 sl,3.4,native
coryogalops ocheticus,suez goby,gobiidae,demersal,6.2 tl,3.2,introduced
coryphaena equiselis,pompano dolphinfish,coryphaenidae,pelagic-oceanic,145.7 tl,4.5,native
coryphaena hippurus,common dolphinfish,coryphaenidae,pelagic-neritic,210.0 tl,4.2,native
coryphaenoides guentheri,günther's grenadier,macrouridae,bathydemersal,50.0 tl,3.3,native
coryphaenoides mediterraneus,mediterranean grenadier,macrouridae,bathypelagic,73.0 tl,3.6,native
coryphoblennius galerita,montagu's blenny,blenniidae,demersal,7.6 sl,2.0,native
crenidens crenidens,karanteen seabream,sparidae,demersal,30.0 tl,2.8,introduced
cryptocentrus caeruleomaculatus,blue-speckled prawn-goby,gobiidae,reef-associated,10.0 sl,3.0,introduced
cryptocentrus steinhardti,steinhardt's shrimp-goby,gobiidae,demersal,8.2 tl,3.3,native
crystallogobius linearis,crystal goby,gobiidae,demersal,4.7 sl,3.4,native
ctenolabrus rupestris,goldsinny-wrasse,labridae,reef-associated,18.0 tl,3.6,native
cubiceps capensis,cape fathead,nomeidae,pelagic-oceanic,101.0 tl,3.4,native
cubiceps gracilis,driftfish,nomeidae,pelagic-oceanic,107.0 tl,3.4,native
cyclichthys spilostylus,spotbase burrfish,diodontidae,reef-associated,34.0 tl,3.5,introduced
cyclothone braueri,garrick,gonostomatidae,bathypelagic,4.6 sl,3.1,native
cyclothone microdon,veiled anglemouth,gonostomatidae,bathypelagic,7.6 tl,3.0,native
cyclothone pygmaea,,gonostomatidae,bathypelagic,2.9 sl,3.4,endemic
cynoglossus sinusarabici,red sea tonguesole,cynoglossidae,demersal,17.1 tl,3.4,introduced
cynoponticus ferox,guinean pike conger,muraenesocidae,demersal,200.0 tl,3.6,native
dactylopterus volitans,flying gurnard,dactylopteridae,reef-associated,50.0 sl,3.7,native
dagetichthys lusitanicus,portuguese sole,soleidae,demersal,40.0 tl,3.1,native
dalatias licha,kitefin shark,dalatiidae,bathydemersal,182.0 tl,4.2,native
dalophis imberbis,armless snake eel,ophichthidae,demersal,150.0 tl,4.0,native
dasyatis chrysonota,blue stingray,dasyatidae,demersal,75.0 wd,3.8,introduced
dasyatis marmorata,marbled stingray,dasyatidae,demersal,74.5 tl,3.6,native
dasyatis pastinaca,common stingray,dasyatidae,demersal,69.5 wd,3.6,native
dasyatis tortonesei,tortonese's stingray,dasyatidae,demersal,80.0 wd,4.0,endemic
decapterus macarellus,mackerel scad,carangidae,pelagic-oceanic,46.0 tl,4.0,native
decapterus punctatus,round scad,carangidae,reef-associated,30.0 sl,3.4,native
decapterus russelli,indian scad,carangidae,benthopelagic,45.0 tl,3.7,introduced
deltentosteus collonianus,toothed goby,gobiidae,demersal,7.0 tl,3.5,native
deltentosteus quadrimaculatus,four-spotted goby,gobiidae,demersal,10.3 tl,3.1,native
dentex dentex,common dentex,sparidae,benthopelagic,100.0 tl,4.5,native
dentex gibbosus,pink dentex,sparidae,benthopelagic,106.0 fl,4.1,native
dentex macrophthalmus,large-eye dentex,sparidae,benthopelagic,65.0 tl,3.5,native
dentex maroccanus,morocco dentex,sparidae,demersal,45.0 tl,3.8,native
diaphus holti,small lantern fish,myctophidae,bathypelagic,7.0 sl,3.1,native
diaphus metopoclampus,spothead lantern fish,myctophidae,bathypelagic,9.6 tl,3.3,native
diaphus rafinesquii,white-spotted lantern fish,myctophidae,bathypelagic,9.4 tl,3.4,native
dicentrarchus labrax,european seabass,moronidae,demersal,103.0 tl,3.5,native
dicentrarchus punctatus,spotted seabass,moronidae,pelagic-neritic,70.0 tl,3.9,native
dicologlossa cuneata,wedge sole,soleidae,demersal,30.0 sl,3.3,native
dicologlossa hexophthalma,ocellated wedge sole,soleidae,demersal,20.0 tl,3.5,introduced
didogobius bentuvii,ben-tuvia's goby,gobiidae,demersal,3.7 sl,3.2,endemic
didogobius schlieweni,andromeda goby,gobiidae,demersal,3.9 sl,3.2,endemic
diodon hystrix,spot-fin porcupinefish,diodontidae,reef-associated,91.0 tl,4.0,questionable
diogenichthys atlanticus,longfin lanternfish,myctophidae,bathypelagic,2.9 sl,3.1,native
diplecogaster bimaculata,two-spotted clingfish,gobiesocidae,benthopelagic,6.0 sl,3.4,native
diplecogaster umutturali,,gobiesocidae,benthopelagic,2.7 sl,3.0,native
diplodus annularis,annular seabream,sparidae,benthopelagic,28.0 tl,3.1,native
diplodus bellottii,senegal seabream,sparidae,benthopelagic,30.0 sl,3.5,native
diplodus cervinus,zebra seabream,sparidae,reef-associated,55.0 tl,3.0,native
diplodus puntazzo,sharpsnout seabream,sparidae,benthopelagic,60.0 tl,3.1,native
diplodus sargus,white seabream,sparidae,demersal,45.0 tl,3.4,native
diplodus vulgaris,common two-banded seabream,sparidae,benthopelagic,45.0 tl,3.5,native
dipturus batis,blue skate,rajidae,demersal,285.0 tl,3.5,native
dipturus nidarosiensis,norwegian skate,rajidae,bathydemersal,200.0 tl,3.5,native
dipturus oxyrinchus,longnosed skate,rajidae,bathydemersal,150.0 tl,3.5,native
dussumieria acuta,rainbow sardine,dussumieriidae,pelagic-neritic,20.0 sl,3.4,misidentification
dussumieria elopsoides,slender rainbow sardine,dussumieriidae,pelagic-neritic,20.0 sl,3.5,introduced
dussumieria productissima,javelin rainbow sardine,dussumieriidae,pelagic-neritic,,3.4,introduced
dysomma brevirostre,pignosed arrowtooth eel,synaphobranchidae,benthopelagic,30.0 tl,3.8,native
echelus myrus,painted eel,ophichthidae,demersal,100.0 tl,4.3,native
echeneis naucrates,live sharksucker,echeneidae,reef-associated,110.0 tl,3.7,native
echiichthys vipera,lesser weever,trachinidae,demersal,27.7 tl,4.4,native
echinorhinus brucus,bramble shark,echinorhinidae,bathydemersal,310.0 tl,4.4,native
echiodon dentatus,,carapidae,demersal,17.0 tl,3.5,native
echiodon drummondii,,carapidae,bathydemersal,30.0 tl,4.0,native
elagatis bipinnulata,rainbow runner,carangidae,reef-associated,180.0 tl,4.3,native
electrona risso,electric lantern fish,myctophidae,bathypelagic,8.4 sl,3.4,native
enchelycore anatina,fangtooth moray,muraenidae,reef-associated,120.0 tl,4.0,introduced
encrasicholina gloria,red sea anchovy,engraulidae,pelagic-neritic,7.2 sl,3.2,native
engraulis encrasicolus,european anchovy,engraulidae,pelagic-neritic,20.0 sl,3.1,native
engraulis maeoticus,,engraulidae,pelagic-neritic,9.5 sl,3.0,endemic
entelurus aequoreus,snake pipefish,syngnathidae,demersal,60.0 tl,3.5,native
ephippion guttifer,prickly puffer,tetraodontidae,demersal,80.0 tl,3.5,native
epigonus constanciae,,epigonidae,bathydemersal,19.7 sl,3.5,native
epigonus denticulatus,pencil cardinal,epigonidae,bathydemersal,20.0 tl,3.4,native
epigonus telescopus,black cardinal fish,epigonidae,bathydemersal,75.0 tl,3.6,native
epinephelus aeneus,white grouper,epinephelidae,demersal,120.0 tl,4.0,native
epinephelus caninus,dogtooth grouper,epinephelidae,demersal,164.0 tl,3.8,native
epinephelus coioides,orange-spotted grouper,epinephelidae,reef-associated,120.0 tl,4.0,introduced
epinephelus costae,goldblotch grouper,epinephelidae,demersal,140.0 sl,3.9,native
epinephelus malabaricus,malabar grouper,epinephelidae,reef-associated,234.0 tl,4.2,introduced
epinephelus marginatus,dusky grouper,epinephelidae,reef-associated,150.0 tl,4.1,native
epinephelus tauvina,greasy grouper,epinephelidae,reef-associated,100.0 tl,4.1,misidentification
equulites klunzingeri,klunzinger's ponyfish,leiognathidae,demersal,13.4 sl,3.5,introduced
equulites popei,pope's ponyfish,leiognathidae,demersal,12.0 tl,3.0,introduced
eretmophorus kleinenbergi,,moridae,benthopelagic,8.9 sl,3.4,native
etmopterus spinax,velvet belly,etmopteridae,bathydemersal,60.0 tl,4.1,native
etrumeus golanii,,dussumieriidae,pelagic-neritic,22.0 tl,3.4,introduced
etrumeus sadina,red-eye round herring,dussumieriidae,pelagic-neritic,33.0 tl,3.6,misidentification
eutelichthys leptochirus,,liparidae,bathydemersal,5.1 sl,3.3,endemic
euthynnus alletteratus,little tunny,scombridae,pelagic-oceanic,122.0 tl,4.3,native
eutrigla gurnardus,grey gurnard,triglidae,demersal,60.0 tl,3.9,native
evermannella balbo,balbo sabretooth,evermannellidae,bathypelagic,16.9 sl,4.2,native
evynnis ehrenbergii,,sparidae,benthopelagic,43.0 tl,3.4,native
exocoetus obtusirostris,oceanic two-wing flyingfish,exocoetidae,pelagic-neritic,24.0 tl,3.0,native
exocoetus volitans,tropical two-wing flyingfish,exocoetidae,pelagic-neritic,30.0 tl,3.0,native
facciolella oxyrhynchus,facciola's sorcerer,nettastomatidae,demersal,64.9 sl,3.5,native
favonigobius melanobranchus,blackthroat goby,gobiidae,demersal,8.3 tl,3.5,native
fistularia commersonii,bluespotted cornetfish,fistulariidae,reef-associated,160.0 tl,4.3,introduced
fistularia petimba,red cornetfish,fistulariidae,reef-associated,200.0 tl,4.4,introduced
gadella maraldi,gadella,moridae,benthopelagic,30.0 tl,3.5,native
gadiculus argenteus,silvery pout,gadidae,pelagic-oceanic,16.1 tl,3.6,native
gadus morhua,atlantic cod,gadidae,benthopelagic,200.0 tl,4.1,introduced
gaidropsarus biscayensis,mediterranean bigeye rockling,gaidropsaridae,benthopelagic,40.0 tl,3.6,native
gaidropsarus granti,azores rockling,gaidropsaridae,demersal,36.0 sl,3.6,native
gaidropsarus mediterraneus,shore rockling,gaidropsaridae,demersal,50.0 tl,3.5,native
gaidropsarus vulgaris,three-bearded rockling,gaidropsaridae,demersal,60.0 tl,3.5,native
galeocerdo cuvier,tiger shark,galeocerdonidae,benthopelagic,750.0 tl,4.6,introduced
galeoides decadactylus,lesser african threadfin,polynemidae,demersal,50.0 tl,3.6,native
galeorhinus galeus,tope shark,triakidae,benthopelagic,195.0 tl,4.3,native
galeus atlanticus,atlantic sawtail cat shark,pentanchidae,bathydemersal,41.7 tl,3.9,native
galeus melastomus,blackmouth catshark,pentanchidae,demersal,90.0 tl,4.2,native
gammogobius steinitzi,steinitz's goby,gobiidae,demersal,3.8 sl,3.2,endemic
gasterosteus aculeatus,three-spined stickleback,gasterosteidae,benthopelagic,11.0 tl,3.3,native
gephyroberyx darwinii,darwin's slimehead,trachichthyidae,benthopelagic,60.0 tl,3.9,introduced
glaucostegus cemiculus,blackchin guitarfish,glaucostegidae,demersal,242.0 tl,4.0,native
glaucostegus halavi,halavi ray,glaucostegidae,benthopelagic,120.0 wd,4.1,native
glossanodon leioglossus,smalltoothed argentine,argentinidae,bathydemersal,20.0 tl,3.5,native
gnathophis mystax,thinlip conger,congridae,demersal,60.0 tl,4.0,native
gobius ater,bellotti's goby,gobiidae,demersal,7.1 sl,3.1,native
gobius auratus,golden goby,gobiidae,demersal,10.0 tl,3.0,native
gobius bucchichi,bucchich's goby,gobiidae,demersal,10.0 tl,3.2,native
gobius cobitis,giant goby,gobiidae,demersal,15.7 tl,3.0,native
gobius couchi,couch's goby,gobiidae,demersal,17.0 tl,2.9,native
gobius cruentatus,red-mouthed goby,gobiidae,demersal,18.0 tl,3.4,native
gobius fallax,sarato's goby,gobiidae,demersal,9.0 tl,3.3,native
gobius gasteveni,steven's goby,gobiidae,demersal,12.0 tl,3.2,native
gobius geniporus,slender goby,gobiidae,demersal,16.5 tl,3.3,endemic
gobius incognitus,incognito goby,gobiidae,benthopelagic,9.5 sl,3.2,native
gobius kolombatovici,kolombatovic's goby,gobiidae,demersal,9.2 sl,3.2,native
gobius niger,black goby,gobiidae,demersal,25.3 tl,3.3,native
gobius ophiocephalus,grass goby,gobiidae,demersal,29.9 tl,3.2,native
gobius paganellus,rock goby,gobiidae,demersal,13.0 tl,3.3,native
gobius roulei,roule's goby,gobiidae,bathydemersal,8.0 tl,3.1,native
gobius strictus,schmidt's goby,gobiidae,demersal,6.5 sl,3.1,endemic
gobius vittatus,striped goby,gobiidae,demersal,5.8 sl,2.9,endemic
gobius xanthocephalus,yellow-headed goby,gobiidae,demersal,10.0 tl,3.2,native
gobius xoriguer,kestrel goby,gobiidae,demersal,6.4 tl,3.1,native
gonichthys cocco,cocco's lanternfish,myctophidae,bathypelagic,6.0 sl,3.2,native
gonostoma denudatum,,gonostomatidae,bathypelagic,14.4 sl,3.3,native
gouania orientalis,oriental blunt-snouted clingfish,gobiesocidae,demersal,3.8 sl,3.1,native
gouania willdenowi,blunt-snouted clingfish,gobiesocidae,demersal,4.6 sl,3.1,native
grammonus ater,,bythitidae,reef-associated,12.0 sl,3.5,endemic
guttigadus latifrons,,moridae,bathydemersal,18.2 sl,3.4,native
gymnammodytes cicerelus,mediterranean sand eel,ammodytidae,demersal,17.0 tl,3.4,native
gymnammodytes semisquamatus,smooth sandeel,ammodytidae,demersal,30.0 sl,2.7,introduced
gymnesigobius medits,balearic goby,gobiidae,demersal,4.3 sl,3.2,native
gymnothorax reticularis,,muraenidae,demersal,60.0 tl,4.0,introduced
gymnothorax unicolor,brown moray,muraenidae,demersal,100.0 tl,3.4,native
gymnura altavela,spiny butterfly ray,gymnuridae,demersal,400.0 wd,4.5,native
halobatrachus didactylus,lusitanian toadfish,batrachoididae,demersal,50.0 tl,4.0,native
halosaurus ovenii,,halosauridae,bathydemersal,60.0 tl,3.5,introduced
hazeus ingressus,immigrant goby,gobiidae,benthopelagic,3.2 sl,3.1,native
helicolenus dactylopterus,blackbelly rosefish,sebastidae,bathydemersal,50.0 tl,3.9,native
hemiramphus far,black-barred halfbeak,hemiramphidae,reef-associated,45.0 tl,2.7,introduced
